,Country,Code,Score 2019,Score 2018,Score 2017,Score 2016,Score 2015
0,Finland,FIN,7.769,7.632000000000001,7.468999862670901,7.412999999999999,7.406000000000001
1,Denmark,DNK,7.6,7.555,7.52199983596802,7.526,7.527
2,Norway,NOR,7.553999999999999,7.593999999999999,7.537000179290769,7.497999999999999,7.522
3,Iceland,ISL,7.494,7.495,7.50400018692017,7.501,7.561
4,Netherlands,NLD,7.4879999999999995,7.441,7.3769998550415,7.3389999999999995,7.377999999999999
5,Switzerland,CHE,7.48,7.487,7.49399995803833,7.5089999999999995,7.587000000000001
6,Sweden,SWE,7.343,7.314,7.28399991989136,7.291,7.364
7,New Zealand,NZL,7.307,7.324,7.31400012969971,7.334,7.2860000000000005
8,Canada,CAN,7.278,7.327999999999999,7.31599998474121,7.404,7.4270000000000005
9,Austria,AUT,7.246,7.138999999999999,7.00600004196167,7.119,7.2
10,Australia,AUS,7.228,7.272,7.28399991989136,7.313,7.284
11,Costa Rica,CRI,7.167000000000001,7.072,7.0789999961853,7.087000000000001,7.226
12,Israel,ISR,7.138999999999999,6.814,7.212999820709231,7.267,7.278
13,Luxembourg,LUX,7.09,6.91,6.86299991607666,6.871,6.946000000000001
14,United Kingdom,GBR,7.053999999999999,7.19,6.71400022506714,6.725,6.867000000000001
15,Ireland,IRL,7.021,6.977,6.9770002365112305,6.907,6.94
16,Germany,DEU,6.985,6.965,6.9510002136230495,6.994,6.75
17,Belgium,BEL,6.922999999999999,6.9270000000000005,6.89099979400635,6.928999999999999,6.937
18,United States,USA,6.892,6.886,6.993000030517581,7.104,7.119
19,Czech Republic,CZE,6.852,6.711,6.60900020599365,6.596,6.505
20,United Arab Emirates,ARE,6.825,6.774,6.6479997634887695,6.5729999999999995,6.901
21,Malta,MLT,6.726,6.627000000000001,6.52699995040894,6.4879999999999995,6.3020000000000005
22,Mexico,MEX,6.595,6.4879999999999995,6.57800006866455,6.778,7.187
23,France,FRA,6.5920000000000005,6.489,6.44199991226196,6.478,6.575
24,Taiwan,TWN,6.446000000000001,6.441,,6.379,6.297999999999999
25,Chile,CHL,6.444,6.476,6.65199995040894,6.705,6.67
26,Guatemala,GTM,6.436,6.382000000000001,6.4539999961853,6.324,6.122999999999999
27,Saudi Arabia,SAU,6.375,6.371,6.343999862670901,6.379,6.4110000000000005
28,Qatar,QAT,6.374,6.374,6.375,6.375,6.611000000000001
29,Spain,ESP,6.354,6.31,6.40299987792969,6.361000000000001,6.329
30,Panama,PAN,6.321000000000001,6.43,6.4520001411438,6.7010000000000005,6.7860000000000005
31,Brazil,BRA,6.3,6.419,6.6350002288818395,6.952000000000001,6.983
32,Uruguay,URY,6.292999999999999,6.379,6.4539999961853,6.545,6.485
33,Singapore,SGP,6.2620000000000005,6.343,6.57200002670288,6.739,6.797999999999999
34,El Salvador,SLV,6.252999999999999,6.167000000000001,6.002999782562259,6.068,6.13
35,Italy,ITA,6.223,6.0,5.96400022506714,5.977,5.9479999999999995
36,Bahrain,BHR,6.199,6.105,6.08699989318848,6.218,5.96
37,Slovakia,SVK,6.1979999999999995,6.172999999999999,6.09800004959106,6.077999999999999,5.995
38,Trinidad and Tobago,TTO,6.192,,6.1680002212524405,6.167999999999999,6.167999999999999
39,Poland,POL,6.182,6.122999999999999,5.97300004959106,5.835,5.791
40,Uzbekistan,UZB,6.1739999999999995,6.096,5.97100019454956,5.987,6.002999999999999
41,Lithuania,LTU,6.149,5.952000000000001,5.90199995040894,5.813,5.832999999999999
42,Colombia,COL,6.125,6.26,6.35699987411499,6.481,6.477
43,Slovenia,SVN,6.117999999999999,5.9479999999999995,5.75799989700317,5.768,5.848
44,Nicaragua,NIC,6.105,6.141,6.07100009918213,5.992000000000001,5.827999999999999
45,Kosovo,XKX,6.1,5.662000000000001,5.27899980545044,5.401,5.5889999999999995
46,Argentina,ARG,6.086,6.388,6.59899997711182,6.65,6.574
47,Romania,ROU,6.07,5.945,5.824999809265139,5.528,5.124
